cik,industry,source_sector,ticker,company
1213037,biotech,Drugs (Biotechnology),NasdaqCM:CRDF,"Cardiff Oncology, Inc. (NasdaqCM:CRDF)"
1213809,biotech,Drugs (Biotechnology),NasdaqCM:DYAI,"Dyadic International, Inc. (NasdaqCM:DYAI)"
1217234,biotech,Drugs (Biotechnology),NasdaqGM:CDNA,"CareDx, Inc. (NasdaqGM:CDNA)"
1226616,biotech,Drugs (Biotechnology),NasdaqGM:MNOV,"MediciNova, Inc. (NasdaqGM:MNOV)"
1228627,biotech,Drugs (Biotechnology),NasdaqCM:IRD,"Opus Genetics, Inc. (NasdaqCM:IRD)"
1231457,biotech,Drugs (Biotechnology),NasdaqCM:GNLX,Genelux Corporation (NasdaqCM:GNLX)
1253689,biotech,Drugs (Biotechnology),NasdaqCM:CBIO,"Crescent Biopharma, Inc. (NasdaqCM:CBIO)"
1262104,biotech,Drugs (Biotechnology),NasdaqCM:LITS,"Lite Strategy, Inc. (NasdaqCM:LITS)"
1274737,biotech,Drugs (Biotechnology),NasdaqGM:XGN,Exagen Inc. (NasdaqGM:XGN)
1279704,biotech,Drugs (Biotechnology),NasdaqCM:CLRB,"Cellectar Biosciences, Inc. (NasdaqCM:CLRB)"
1280776,biotech,Drugs (Biotechnology),NasdaqGS:IMUX,"Immunic, Inc. (NasdaqGS:IMUX)"
1281895,biotech,Drugs (Biotechnology),NasdaqGM:RCKT,"Rocket Pharmaceuticals, Inc. (NasdaqGM:RCKT)"
1293818,biotech,Drugs (Biotechnology),OTCPK:OPGN,"OpGen, Inc. (OTCPK:OPGN)"
1310291,biotech,Drugs (Biotechnology),OTCPK:BWVI,"Blue Water Ventures International, Inc. (OTCPK:BWVI)"
1314052,biotech,Drugs (Biotechnology),NasdaqGS:AVXL,Anavex Life Sciences Corp. (NasdaqGS:AVXL)
1318641,biotech,Drugs (Biotechnology),OTCPK:STAB,"Statera Biopharma, Inc. (OTCPK:STAB)"
1326110,biotech,Drugs (Biotechnology),NasdaqGS:IBRX,"ImmunityBio, Inc. (NasdaqGS:IBRX)"
1326190,biotech,Drugs (Biotechnology),NasdaqGM:ALT,"Altimmune, Inc. (NasdaqGM:ALT)"
1326732,biotech,Drugs (Biotechnology),NasdaqGM:XNCR,"Xencor, Inc. (NasdaqGM:XNCR)"
1335105,biotech,Drugs (Biotechnology),NasdaqCM:LIXT,"Lixte Biotechnology Holdings, Inc. (NasdaqCM:LIXT)"
1339970,biotech,Drugs (Biotechnology),NasdaqCM:ATYR,"aTyr Pharma, Inc. (NasdaqCM:ATYR)"
1341235,biotech,Drugs (Biotechnology),NasdaqCM:ALDX,"Aldeyra Therapeutics, Inc. (NasdaqCM:ALDX)"
1347178,biotech,Drugs (Biotechnology),NasdaqGM:VNDA,Vanda Pharmaceuticals Inc. (NasdaqGM:VNDA)
1347242,biotech,Drugs (Biotechnology),OTCPK:LIPO,Lipella Pharmaceuticals Inc. (OTCPK:LIPO)
1348911,biotech,Drugs (Biotechnology),NasdaqGM:KALV,"KalVista Pharmaceuticals, Inc. (NasdaqGM:KALV)"
1355250,biotech,Drugs (Biotechnology),OTCPK:IPIX,Innovation Pharmaceuticals Inc. (OTCPK:IPIX)
1355790,biotech,Drugs (Biotechnology),OTCPK:ISCO,International Stem Cell Corporation (OTCPK:ISCO)
1356090,biotech,Drugs (Biotechnology),NasdaqGS:PGEN,"Precigen, Inc. (NasdaqGS:PGEN)"
1357459,biotech,Drugs (Biotechnology),NasdaqCM:PALI,"Palisade Bio, Inc. (NasdaqCM:PALI)"
1357874,biotech,Drugs (Biotechnology),NasdaqCM:DTIL,"Precision BioSciences, Inc. (NasdaqCM:DTIL)"
1359931,biotech,Drugs (Biotechnology),NasdaqGM:TARA,"Protara Therapeutics, Inc. (NasdaqGM:TARA)"
1367644,biotech,Drugs (Biotechnology),NYSE:EBS,Emergent BioSolutions Inc. (NYSE:EBS)
1368514,biotech,Drugs (Biotechnology),NasdaqGM:ADMA,"ADMA Biologics, Inc. (NasdaqGM:ADMA)"
1370053,biotech,Drugs (Biotechnology),NasdaqGS:ANAB,"AnaptysBio, Inc. (NasdaqGS:ANAB)"
1372299,biotech,Drugs (Biotechnology),NasdaqCM:OCGN,"Ocugen, Inc. (NasdaqCM:OCGN)"
1374690,biotech,Drugs (Biotechnology),NasdaqGM:LRMR,"Larimar Therapeutics, Inc. (NasdaqGM:LRMR)"
1376339,biotech,Drugs (Biotechnology),NasdaqCM:MDXG,"MiMedx Group, Inc. (NasdaqCM:MDXG)"
1377121,biotech,Drugs (Biotechnology),NasdaqGM:PTGX,"Protagonist Therapeutics, Inc. (NasdaqGM:PTGX)"
1379006,biotech,Drugs (Biotechnology),NYSEAM:NNVC,"NanoViricides, Inc. (NYSEAM:NNVC)"
1382101,biotech,Drugs (Biotechnology),NasdaqGM:STRO,"Sutro Biopharma, Inc. (NasdaqGM:STRO)"
1384101,biotech,Drugs (Biotechnology),NasdaqGM:VCYT,"Veracyte, Inc. (NasdaqGM:VCYT)"
1388320,biotech,Drugs (Biotechnology),NYSEAM:ATNM,"Actinium Pharmaceuticals, Inc. (NYSEAM:ATNM)"
1388490,biotech,Drugs (Biotechnology),OTCPK:MBCI,"MabCure, Inc. (OTCPK:MBCI)"
1390478,biotech,Drugs (Biotechnology),NasdaqCM:SLS,"SELLAS Life Sciences Group, Inc. (NasdaqCM:SLS)"
1395937,biotech,Drugs (Biotechnology),NasdaqGS:SNDX,"Syndax Pharmaceuticals, Inc. (NasdaqGS:SNDX)"
1400118,biotech,Drugs (Biotechnology),NasdaqGM:SGMT,Sagimet Biosciences Inc. (NasdaqGM:SGMT)
1401040,biotech,Drugs (Biotechnology),NasdaqCM:DMAC,DiaMedica Therapeutics Inc. (NasdaqCM:DMAC)
1401667,biotech,Drugs (Biotechnology),NasdaqGS:PBYI,"Puma Biotechnology, Inc. (NasdaqGS:PBYI)"
1402328,biotech,Drugs (Biotechnology),NasdaqCM:SBFM,"Sunshine Biopharma, Inc. (NasdaqCM:SBFM)"
1404281,biotech,Drugs (Biotechnology),NasdaqCM:ELDN,"Eledon Pharmaceuticals, Inc. (NasdaqCM:ELDN)"
1404644,biotech,Drugs (Biotechnology),NasdaqGM:NGNE,Neurogene Inc. (NasdaqGM:NGNE)
1411685,biotech,Drugs (Biotechnology),NasdaqCM:VTGN,"Vistagen Therapeutics, Inc. (NasdaqCM:VTGN)"
1419041,biotech,Drugs (Biotechnology),NasdaqCM:FBRX,"Forte Biosciences, Inc. (NasdaqCM:FBRX)"
1419554,biotech,Drugs (Biotechnology),NasdaqCM:BBLG,Bone Biologics Corporation (NasdaqCM:BBLG)
1420565,biotech,Drugs (Biotechnology),NasdaqCM:RNTX,Rein Therapeutics Inc. (NasdaqCM:RNTX)
1420720,biotech,Drugs (Biotechnology),NasdaqCM:IBIO,"iBio, Inc. (NasdaqCM:IBIO)"
1421851,biotech,Drugs (Biotechnology),OTCPK:ENZC,"Enzolytics, Inc. (OTCPK:ENZC)"
1422142,biotech,Drugs (Biotechnology),NasdaqCM:WHWK,"Whitehawk Therapeutics, Inc. (NasdaqCM:WHWK)"
1422143,biotech,Drugs (Biotechnology),NasdaqGS:KURA,"Kura Oncology, Inc. (NasdaqGS:KURA)"
1425205,biotech,Drugs (Biotechnology),NasdaqGM:IOVA,"Iovance Biotherapeutics, Inc. (NasdaqGM:IOVA)"
1426800,biotech,Drugs (Biotechnology),NasdaqGS:ASMB,"Assembly Biosciences, Inc. (NasdaqGS:ASMB)"
1429260,biotech,Drugs (Biotechnology),NasdaqCM:FBIO,"Fortress Biotech, Inc. (NasdaqCM:FBIO)"
1429560,biotech,Drugs (Biotechnology),OTCPK:TRVN,"Trevena, Inc. (OTCPK:TRVN)"
1430306,biotech,Drugs (Biotechnology),NasdaqCM:TNXP,Tonix Pharmaceuticals Holding Corp. (NasdaqCM:TNXP)
1434316,biotech,Drugs (Biotechnology),NasdaqGM:FATE,"Fate Therapeutics, Inc. (NasdaqGM:FATE)"
1437402,biotech,Drugs (Biotechnology),NasdaqGM:ARDX,"Ardelyx, Inc. (NasdaqGM:ARDX)"
